#plot,int
#x,y,sp,age,mysize,tag,sprout
4.534751275,58.606925568,2,0,4.965634224,2,1
4.649050118,58.685680649,2,0,3.533239737,3,1
4.541337313,58.74979935,2,0,8.912676813,4,1
4.442832544,58.562818777000004,2,0,1.92,5,1
4.289145621,58.931242653,2,0,2.801126998,6,1
4.307478628,59.057609198,2,0,2.355493158,7,1
4.384790974,59.080474258,2,0,3.21492985,8,1
4.467092129,59.014438999,2,0,5.411268065,9,1
4.573330983,59.237331407,2,0,2.419155135,10,1
4.65433204,59.105441976,2,0,8.244226052,11,1
4.357567182,58.892998692,2,0,0.71,12,1
4.905947437,58.729910048,2,0,0.59,13,1
4.905947437,58.729910048,2,0,1.33,14,1
4.913632476,58.918859208,2,0,0.85,15,1
6.899912072,67.63459592,2,0,11.42732491,20,2
6.890765275,67.69562599,2,0,4.551831372,21,2
6.833333726,67.8773298,2,0,4.61549335,22,2
6.988692959,67.92732174,2,0,2.960281942,23,2
6.597033223,67.7890832,2,0,1.909859317,24,2
6.590440656,67.62216538,2,0,2.196338215,25,2
1.739478099,66.78526919000001,1,0,4.901972247,26,0
0.666363461,74.8645719,1,0,2.03,29,0
8.302944683,72.16275509,2,0,2.705634033,30,3
8.418489093,72.1145783,2,0,4.61549335,31,3
8.640717582,72.44507662,2,0,18.52563538,32,3
8.507267028,72.71501523,2,0,13.68732511,33,3
8.811950518,72.14812198,2,0,6.68450761,34,3
8.946126596,72.23051988,2,0,1.06,35,3
8.916752409,72.42262801,2,0,3.9152116,36,3
8.925955508,72.88300507,2,0,16.71126902,37,3
6.367279825,76.70971293,1,0,1.16,42,0
6.053356138,76.91469301000001,1,0,1.74,43,0
3.822607795,79.70425523,1,0,2.641972055,45,0
1.795639267,79.97974346000001,1,0,3.565070725,47,0
1.070079198,80.0129831,2,0,1.55,50,4
1.087553512,80.01110021,2,0,1.15,51,4
5.641860825,81.12071519,1,0,1.3,58,0
6.947155442,91.76831485,1,0,2.48,63,0
6.952318085,92.04993590000001,1,0,1.98,64,0
3.513090537,97.80897508000001,1,0,6.238873769,69,0
4.830692327,96.32037256000001,1,0,14.16478994,70,0
9.974723798,98.32314466,1,0,0.82,71,0
10.97700002,98.18155678,1,0,1.23,72,0
11.40746122,96.88392164999999,1,0,18.71662131,74,0
12.35848164,95.37054905,1,0,5.53859202,75,0
18.44637621,96.09510895,1,0,3.819718634,79,0
12.78503073,89.99139538,1,0,2.76929601,83,0
17.13405091,81.25496777000001,1,0,1.58,86,0
17.51724033,81.15971286999999,1,0,3.119436885,87,0
19.49491609,78.80229213,2,0,2.641972055,88,5
19.16681091,78.65414695999999,2,0,2.21,89,5
19.01433591,78.50552349,2,0,2.07,90,5
19.28818616,78.62802263,2,0,12.3185926,91,5
19.56290792,78.4251192,2,0,3.660563691,92,5
19.5558921,78.66597854,2,0,0.72,93,5
19.07484955,78.29398063,2,0,13.62366313,94,5
19.31219183,78.19753908,2,0,2.74,95,5
19.39503726,78.23270488,2,0,1.93,96,5
10.12049551,74.04790941,1,0,4.169859509,99,0
19.69916376,70.65348857000001,2,0,3.756056657,105,6
17.0620223,65.73914985,3,0,2.35,106,0
18.06974471,64.41805618000001,3,0,0.85,107,0
19.67472816,63.7331669,2,0,0.8,108,7
19.51290635,63.843463650000004,2,0,0.38,109,7
19.66967545,63.82849535,2,0,1.28,110,7
19.45059203,63.83748748,2,0,4.488169395,111,7
16.47161312,63.88853747,2,0,9.549296586,112,8
14.36820512,56.433147471,1,0,1.02,114,0
16.9360032,55.527596549,1,0,1.25,115,0
27.83420218,51.017485213,3,0,19.8625369,117,0
29.99815712,50.191974424,1,0,4.583662361,118,0
29.93960955,51.097343111,1,0,4.456338407,119,0
26.52855826,54.760706567,3,0,1.27,120,0
23.97564944,53.162374354,3,0,10.53605723,121,0
22.47951462,53.634832496,3,0,12.25493062,122,0
29.52573977,56.844938409,1,0,3.883380611,124,0
21.83654062,61.595461119999996,2,0,1.09,126,9
31.28578707,58.199604269,3,0,12.09577567,128,0
24.67635205,89.22583494,1,0,2.228169203,129,0
27.06222387,58.974485720000004,3,0,4.901972247,132,0
24.4813307,61.26108677,2,0,4.742817304,133,10
24.48375705,61.3246776,2,0,4.106197532,134,10
24.43156071,61.484658010000004,2,0,8.626197916,135,10
24.25632119,60.97345114,2,0,5.76140894,136,10
24.04266054,60.75532407,2,0,1.27,137,10
23.97581063,60.57747275,2,0,1.47,138,10
23.90415344,60.78510482,2,0,11.55464887,139,10
23.81413609,60.89146298,2,0,2.705634033,140,10
23.80324496,60.799899429999996,2,0,0.58,141,10
23.77682103,61.15813707,2,0,4.13802852,142,10
23.82222553,61.16380723,2,0,5.411268065,143,10
24.31968047,61.74054771,2,0,5.347606088,144,10
21.71355393,61.60416447,2,0,2.450986124,147,9
21.78553769,61.94731163,2,0,3.501408748,148,9
21.95167055,62.18468638,2,0,5.856901906,149,9
22.02183317,62.08199862,2,0,1.11,150,9
22.1852257,62.1449738,2,0,3.69239468,151,9
21.91691253,62.38250162,2,0,6.748169587,152,9
20.23630558,63.53793779,1,0,3.533239737,154,0
20.02537707,64.53997785,1,0,2.11,155,0
22.65033794,65.50511557,1,0,2.18,157,0
26.9097031,64.48649381,3,0,3.023943919,159,0
27.9193464,62.97397212,3,0,12.50957853,160,0
29.62009359,71.08611953,3,0,2.12,162,0
26.37392393,70.92099772,3,0,0.95,163,0
25.67749682,70.35854879,3,0,2.02,164,0
24.17454344,77.52953181000001,3,0,0.54,167,0
25.43332391,84.33418221,2,0,4.392676429,171,11
24.90735078,84.66329612,2,0,2.450986124,172,11
20.55777251,83.49386522,2,0,7.671268257,173,12
20.86937028,83.30621965,2,0,3.947042589,174,12
20.54820962,83.73393535,2,0,2.005352283,175,12
20.65225761,83.79418337,2,0,11.23633898,176,12
20.85173115,83.61657192,2,0,6.875493542,177,12
21.0009762,83.60789967,2,0,8.116902098,178,12
20.6057334,84.51333553,2,0,2.132676237,180,12
21.3318663,88.494599,1,0,5.856901906,182,0
23.61537132,91.38057606000001,1,0,4.61549335,184,0
26.08806805,96.32643876,2,0,4.83831027,186,13
26.36302701,96.65852741,2,0,7.002817496,187,13
26.10917963,96.69040539,2,0,6.047887837,188,13
26.35622472,96.8162165,2,0,4.010704566,189,13
25.93341499,96.75386456,2,0,1.43,190,13
26.64557984,97.05211802,2,0,10.75887415,191,13
26.584829,97.33891185,2,0,4.392676429,193,13
26.38270087,97.29090047,2,0,1.48,194,13
26.12561572,97.27440252,2,0,12.15943765,195,13
25.84220132,96.93783711,2,0,9.008169779,197,13
30.57121376,98.90178856,2,0,5.98422586,199,14
37.97262429,95.94387719,2,0,12.92338138,200,15
37.58664551,96.05556767,2,0,1.17,201,15
37.19510181,95.58702726,2,0,13.4326772,203,15
34.51139226,89.26488458,1,0,3.596901714,204,0
38.3698319,85.03761996,1,0,3.756056657,205,0
33.93911007,74.00846752,3,0,2.14,209,0
35.20895174,73.34408758000001,2,0,2.387324146,211,16
35.18994777,73.20537707,2,0,7.703099246,212,16
37.16097263,68.58208924,1,0,5.793239929,213,0
37.03769449,68.25834669,1,0,3.023943919,214,0
36.7165148,68.17516332,1,0,2.896619964,215,0
36.223985,68.90254352,1,0,2.896619964,216,0
32.17251558,67.93114137,2,0,2.15,218,17
32.32412661,67.64319379,2,0,3.151267873,219,17
32.41046455,67.50389089000001,2,0,5.952394872,220,17
31.863786,67.93730716,2,0,7.957747155,221,17
31.68550522,68.03348731,2,0,8.180564075,222,17
31.64129049,67.86874086,2,0,6.843662553,223,17
31.89674369,67.510168,2,0,21.8042272,224,17
31.89179683,67.24741853,2,0,5.188451145,225,17
32.11940718,67.11477675,2,0,2.514648101,226,17
31.99938738,67.17616394,2,0,2.960281942,227,17
32.26116972,67.23739044999999,2,0,7.352958371,228,17
32.24936889,67.1001311,2,0,6.429859701,229,17
31.99259201,67.25743239,2,0,1.23,230,17
33.59879754,64.8412447,3,0,1.19,231,0
35.17523191,63.03154432,1,0,5.411268065,233,0
33.4958317,62.92672206,1,0,1.05,234,0
39.47552325,63.7520436,3,0,0.7,239,0
39.17584475,59.477292772,1,0,1.43,241,0
37.78793508,59.698297042,1,0,1.16,242,0
34.02577734,59.71190867,2,0,7.703099246,245,18
34.05093781,59.693092727999996,2,0,1.03,246,18
33.89485241,59.407522329,2,0,2.22,247,18
34.06856706,59.41808477,2,0,1.03,248,18
33.86120516,59.31434332,2,0,3.151267873,249,18
33.81748807,59.145595846999996,2,0,1.08,252,18
33.99186409,58.913800502,2,0,4.61549335,253,18
32.51296487,58.126014401999996,3,0,1.31,254,0
32.36495678,56.713623757,3,0,10.6315502,255,0
34.14498464,56.625994983,3,0,3.405915782,256,0
33.45079767,56.101552429,3,0,9.963099438,257,0
34.51042732,55.862593187,3,0,7.161972439,258,0
38.61925746,57.598378223,1,0,1.35,259,0
40.79553508,55.033308552,2,0,1.95,261,19
40.67586355,55.066075753999996,2,0,2.31,262,19
40.62028247,55.351199116000004,2,0,7.989578143,264,19
41.0457958,55.079917568,2,0,6.270704758,266,19
41.10062307,55.194427313,2,0,6.366197724,267,19
40.67764847,55.571547387,2,0,5.06112719,268,19
