1, num, 280, 348, 161
1, death, 98, 15, 1
1, sinki, 107, 27, 101
2, num, 269, 360, 251
2, death, 98, 13, 5
2, sinki, 87, 25, 95
3, num, 264, 373, 331
3, death, 76, 12, 3
3, sinki, 71, 25, 83
4, num, 240, 379, 408
4, death, 77, 17, 0
4, sinki, 53, 23, 77
5, num, 218, 385, 483
5, death, 68, 17, 2
5, sinki, 46, 23, 77
6, num, 203, 398, 554
6, death, 52, 10, 6
6, sinki, 37, 23, 77
7, num, 178, 396, 612
7, death, 56, 24, 7
7, sinki, 31, 22, 65
8, num, 161, 403, 675
8, death, 45, 15, 2
8, sinki, 28, 22, 65
9, num, 150, 406, 738
9, death, 34, 18, 2
9, sinki, 23, 21, 65
10, num, 134, 410, 798
10, death, 37, 17, 5
10, sinki, 21, 21, 65
11, num, 125, 406, 855
11, death, 22, 24, 8
11, sinki, 13, 20, 65
12, num, 116, 413, 909
12, death, 19, 12, 11
12, sinki, 10, 19, 65
13, num, 109, 410, 962
13, death, 17, 21, 6
13, sinki, 10, 18, 59
14, num, 100, 410, 1014
14, death, 19, 17, 7
14, sinki, 10, 17, 59
15, num, 101, 414, 1075
15, death, 9, 13, 4
15, sinki, 10, 17, 65
16, num, 99, 412, 1134
16, death, 12, 18, 6
16, sinki, 10, 16, 65
17, num, 98, 416, 1196
17, death, 10, 11, 9
17, sinki, 9, 15, 71
18, num, 102, 414, 1256
18, death, 4, 17, 11
18, sinki, 8, 15, 71
19, num, 105, 419, 1332
19, death, 5, 10, 7
19, sinki, 8, 15, 83
20, num, 106, 417, 1422
20, death, 7, 17, 5
20, sinki, 8, 15, 95
21, num, 109, 421, 1501
21, death, 5, 12, 16
21, sinki, 8, 16, 95
22, num, 115, 420, 1580
22, death, 2, 17, 10
22, sinki, 8, 16, 89
23, num, 118, 420, 1677
23, death, 5, 15, 10
23, sinki, 8, 15, 107
24, num, 123, 424, 1785
24, death, 3, 11, 11
24, sinki, 8, 15, 119
25, num, 129, 427, 1901
25, death, 2, 12, 9
25, sinki, 8, 15, 125
26, num, 133, 425, 2037
26, death, 4, 17, 7
26, sinki, 8, 15, 143
27, num, 132, 424, 2170
27, death, 9, 16, 22
27, sinki, 8, 15, 155
28, num, 136, 423, 2323
28, death, 4, 15, 13
28, sinki, 8, 14, 166
29, num, 141, 425, 2477
29, death, 3, 12, 18
29, sinki, 8, 14, 172
30, num, 145, 422, 2642
30, death, 4, 17, 19
30, sinki, 8, 14, 184
31, num, 149, 426, 2831
31, death, 4, 10, 13
31, sinki, 8, 14, 202
32, num, 153, 432, 3018
32, death, 4, 8, 21
32, sinki, 8, 14, 208
33, num, 155, 432, 3199
33, death, 6, 14, 15
33, sinki, 8, 14, 196
34, num, 159, 430, 3378
34, death, 4, 16, 17
34, sinki, 8, 14, 196
35, num, 162, 434, 3542
35, death, 5, 10, 26
35, sinki, 8, 14, 190
36, num, 169, 433, 3707
36, death, 1, 14, 19
36, sinki, 8, 13, 184
37, num, 174, 435, 3868
37, death, 3, 10, 23
37, sinki, 8, 12, 184
38, num, 175, 439, 4513
38, death, 7, 9, 34
38, sinki, 8, 13, 679
39, num, 180, 441, 5601
39, death, 3, 11, 32
39, sinki, 8, 13, 1120
40, num, 186, 441, 7043
40, death, 2, 13, 30
40, sinki, 8, 13, 1472
41, num, 193, 440, 8760
41, death, 1, 14, 47
41, sinki, 8, 13, 1764
42, num, 197, 441, 10771
42, death, 4, 11, 57
42, sinki, 8, 12, 2068
43, num, 200, 442, 13108
43, death, 5, 11, 71
43, sinki, 8, 12, 2408
44, num, 205, 444, 15629
44, death, 3, 10, 108
44, sinki, 8, 12, 2629
45, num, 208, 452, 18382
45, death, 5, 4, 120
45, sinki, 8, 12, 2873
