#x,y,sp,age,size,tag
26.14893077,-15.04137691,3,100,0.21,558
38.23758746,-18.66253439,3,100,0.28,515
39.47552325,13.7520436,3,100,0.34,239
24.17454344,27.52953181,3,100,0.4,167
23.67380359,-16.86290104,3,100,0.41,568
38.53306183,-15.79728319,3,100,0.45,517
34.09414976,24.03738005,3,100,0.46,210
33.59879754,14.8412447,3,100,0.5,231
29.12789321,-30.17268547,3,100,0.5,472
27.5309352,-29.41151523,3,100,0.57,654
18.06974471,14.41805618,3,100,0.61,107
26.37392393,20.92099772,3,100,0.63,163
32.51296487,8.126014402,3,100,0.75,254
21.72235995,-34.63067925,3,100,0.81,720
26.52855826,4.760706567,3,100,0.85,120
44.62337913,-27.13229856,3,100,0.9,695
16.17530309,-17.61006412,3,100,0.96,572
44.62215428,-19.56138535,3,100,1,510
25.67749682,20.35854879,3,100,1.08,164
49.22132512,2.289775429,3,100,1.08,275
30.7873153,-27.24736053,3,100,1.15,668
35.24686032,-17.04681937,3,100,1.27,523
29.62009359,21.08611953,3,100,1.34,162
33.93911007,24.00846752,3,100,1.36,209
28.61544734,-30.660465,3,100,1.38,714
27.70877406,-30.42109321,3,100,1.46,716
41.07704515,-13.61287611,3,100,1.47,513
49.0126044,2.64949921,3,100,1.55,276
42.95207784,10.55518239,3,100,1.63,279
25.6354927,-22.89977172,3,100,1.69,636
25.6354927,-22.89977172,3,100,1.69,637
17.0620223,15.73914985,3,100,1.7,106
22.92853553,-15.54685505,3,100,1.94,569
38.61414754,-15.81719975,3,100,2.03,516
26.9097031,14.48649381,3,100,2.12,159
24.66289797,-31.71120156,3,100,2.21,718
44.44817578,11.04175148,3,100,2.25,280
33.74075539,-22.59022183,3,100,2.3,661
39.40833443,-8.731169098,3,100,2.34,445
25.89781877,-29.80657989,3,100,2.5,651
34.14498464,6.625994983,3,100,2.801126998,256
34.48030917,-28.14965212,3,100,3.9152116,673
27.06222387,8.97448572,3,100,4.679155327,132
31.46522694,-21.37593968,3,100,6.270704758,660
34.51042732,5.862593187,3,100,6.780000576,258
31.68306491,-7.31370316,3,100,6.939155519,421
33.01996987,-9.352482182,3,100,7.034648485,428
39.72106283,-19.98610505,3,100,7.416620348,514
35.33540445,-8.600554268,3,100,7.925916166,432
30.92838751,8.027698705,3,100,8.116902098,127
33.45079767,6.101552429,3,100,9.390141642,257
32.36495678,6.713623757,3,100,10.12225438,255
23.97564944,3.162374354,3,100,10.3450713,121
35.12221344,-6.189055468,3,100,10.3450713,433
31.28578707,8.199604269,3,100,11.17267701,128
27.9193464,12.97397212,3,100,11.65014183,160
22.47951462,3.634832496,3,100,11.96845172,122
31.45198034,-13.40167017,3,100,14.92873366,526
27.83420218,1.017485213,3,100,19.576058,117
26.43986096,0.882151221,3,100,25.46479089,116
