#plot,int,,,,,
#x,y,sp,age,size,tag,sprout
2.971934265,8.798670724,1,0,13.11436731,1,0
5.112872629,4.97445664,1,0,22.98197378,16,0
9.484544485,3.861603987,1,0,12.47774754,17,0
9.983803476,12.31994346,1,0,9.708451529,18,0
1.739478099,16.78526919,1,0,3.787887646,26,0
1.225162396,21.39949173,1,0,0.64,27,0
0.569129834,24.63519053,1,0,1.18,28,0
0.666363461,24.8645719,1,0,1.5,29,0
7.61410083,23.66441926,1,0,8.785352859,39,0
6.420031139,24.87306887,1,0,12.8597194,40,0
6.091883727,26.62487378,1,0,11.26816997,41,0
6.367279825,26.70971293,1,0,0.5,42,0
6.053356138,26.91469301,1,0,0.86,43,0
6.760642203,30.02306425,1,0,4.456338407,44,0
3.822607795,29.70425523,1,0,1.32,45,0
2.086986848,29.18590692,1,0,1.74,46,0
1.795639267,29.97974346,1,0,2.06,47,0
0.327064133,28.51372005,1,0,1.98,48,0
0.07138306,28.17968853,1,0,1.83,49,0
2.36420662,35.45015945,1,0,5.092958179,52,0
3.391601794,37.77939924,1,0,4.329014452,53,0
3.183721894,39.87663993,1,0,6.939155519,54,0
3.717645281,39.48857905,1,0,14.76957872,55,0
4.210054813,38.68148652,1,0,1.74,56,0
4.326916842,39.67994641,1,0,2.5,57,0
5.641860825,31.12071519,1,0,0.62,58,0
9.461506774,30.50806783,1,0,2.23,59,0
8.411664196,38.28826961,1,0,22.75915686,60,0
8.558256836,40.55989154,1,0,2.35,61,0
8.140401059,40.77185525,1,0,1.64,62,0
6.947155442,41.76831485,1,0,2.32,63,0
6.952318085,42.0499359,1,0,1.38,64,0
7.383597474,42.4573393,1,0,5.124789168,65,0
6.799524308,42.37986973,1,0,5.634084985,66,0
3.809298743,42.76347168,1,0,3.087605896,67,0
2.094129029,41.35758,1,0,10.66338119,68,0
3.513090537,47.80897508,1,0,5.188451145,69,0
4.830692327,46.32037256,1,0,13.1461983,70,0
9.974723798,48.32314466,1,0,0.6,71,0
10.97700002,48.18155678,1,0,0.8,72,0
10.84972358,47.7325831,1,0,6.334366735,73,0
11.40746122,46.88392165,1,0,18.36648043,74,0
12.35848164,45.37054905,1,0,4.583662361,75,0
14.75055957,45.80967083,1,0,2.24,76,0
14.92343343,45.14794831,1,0,6.525352667,77,0
17.193367,46.91190359,1,0,1.86,78,0
18.44637621,46.09510895,1,0,2.896619964,79,0
17.95644223,43.61197614,1,0,2.74,80,0
19.2373847,42.64214267,1,0,15.97915629,81,0
12.79204421,41.99894305,1,0,12.50957853,82,0
12.78503073,39.99139538,1,0,1.61,83,0
8.99311436,32.37796001,1,0,5.634084985,84,0
13.81639432,30.4113999,1,0,4.520000384,85,0
17.13405091,31.25496777,1,0,0.82,86,0
17.51724033,31.15971287,1,0,1.67,87,0
12.12479492,29.57558604,1,0,7.480282325,97,0
10.31309044,24.7871772,1,0,8.53070495,98,0
10.12049551,24.04790941,1,0,2.928450953,99,0
17.68476396,23.66233855,1,0,2.31,100,0
18.75067109,23.47523147,1,0,1.19,101,0
18.88895975,21.51976962,1,0,1.53,102,0
18.4808763,20.58078494,1,0,1.34,104,0
13.69597415,10.57216703,1,0,1.47,113,0
14.36820512,6.433147471,1,0,0.14,114,0
16.9360032,5.527596549,1,0,0.65,115,0
29.99815712,0.191974424,1,0,3.342253805,118,0
