1, num, 573, 237, 2
1, death, 76, 4, 6
1, sinki, 309, 15, 5
2, num, 808, 247, 0
2, death, 71, 5, 7
2, sinki, 306, 15, 5
3, num, 1034, 254, 0
3, death, 76, 8, 0
3, sinki, 302, 15, 0
4, num, 1230, 260, 0
4, death, 99, 8, 0
4, sinki, 295, 14, 0
5, num, 1442, 270, 0
5, death, 79, 4, 0
5, sinki, 291, 14, 0
6, num, 1638, 276, 0
6, death, 93, 7, 0
6, sinki, 289, 13, 0
7, num, 1819, 284, 0
7, death, 101, 6, 0
7, sinki, 282, 14, 0
8, num, 1998, 291, 0
8, death, 100, 7, 0
8, sinki, 279, 14, 0
9, num, 2194, 299, 0
9, death, 83, 5, 0
9, sinki, 279, 13, 0
10, num, 2365, 307, 0
10, death, 105, 5, 0
10, sinki, 276, 13, 0
11, num, 2543, 310, 0
11, death, 94, 11, 0
11, sinki, 272, 14, 0
12, num, 2704, 315, 0
12, death, 106, 9, 0
12, sinki, 267, 14, 0
13, num, 2882, 318, 0
13, death, 87, 11, 0
13, sinki, 265, 14, 0
14, num, 3046, 325, 0
14, death, 98, 6, 0
14, sinki, 262, 13, 0
15, num, 3201, 329, 0
15, death, 102, 8, 0
15, sinki, 257, 12, 0
16, num, 3343, 331, 0
16, death, 113, 11, 0
16, sinki, 255, 13, 0
17, num, 3509, 331, 0
17, death, 88, 12, 0
17, sinki, 254, 12, 0
18, num, 3648, 335, 0
18, death, 111, 8, 0
18, sinki, 250, 12, 0
19, num, 3798, 346, 0
19, death, 96, 1, 0
19, sinki, 246, 12, 0
20, num, 3941, 351, 0
20, death, 101, 7, 0
20, sinki, 244, 12, 0
21, num, 4075, 358, 0
21, death, 107, 5, 0
21, sinki, 241, 12, 0
22, num, 4227, 356, 0
22, death, 88, 14, 0
22, sinki, 240, 12, 0
23, num, 4383, 363, 0
23, death, 84, 5, 0
23, sinki, 240, 12, 0
24, num, 4545, 368, 0
24, death, 76, 7, 0
24, sinki, 238, 12, 0
25, num, 4712, 369, 0
25, death, 71, 11, 0
25, sinki, 238, 12, 0
26, num, 4856, 369, 0
26, death, 93, 12, 0
26, sinki, 237, 12, 0
27, num, 5000, 372, 0
27, death, 91, 9, 0
27, sinki, 235, 12, 0
28, num, 5167, 372, 0
28, death, 68, 12, 0
28, sinki, 235, 12, 0
29, num, 5317, 379, 0
29, death, 85, 5, 0
29, sinki, 235, 12, 0
30, num, 5490, 384, 0
30, death, 62, 7, 0
30, sinki, 235, 12, 0
31, num, 5628, 391, 0
31, death, 96, 5, 0
31, sinki, 234, 12, 0
32, num, 5773, 391, 0
32, death, 88, 12, 0
32, sinki, 233, 12, 0
33, num, 5948, 393, 0
33, death, 57, 10, 0
33, sinki, 232, 12, 0
34, num, 6107, 405, 0
34, death, 74, 1, 0
34, sinki, 233, 13, 0
35, num, 6269, 404, 0
35, death, 72, 14, 0
35, sinki, 234, 13, 0
36, num, 6439, 407, 0
36, death, 66, 10, 0
36, sinki, 236, 13, 0
37, num, 6614, 407, 0
37, death, 63, 13, 0
37, sinki, 238, 13, 0
38, num, 6788, 410, 0
38, death, 69, 10, 0
38, sinki, 243, 13, 0
39, num, 6961, 418, 0
39, death, 70, 5, 0
39, sinki, 243, 13, 0
40, num, 7145, 428, 0
40, death, 66, 4, 0
40, sinki, 250, 14, 0
