1, num, 9, 57, 22
1, death, 5, 7, 5
1, sinki, 0, 50, 20
2, num, 8, 53, 21
2, death, 2, 3, 0
2, sinki, 0, 0, 0
3, num, 6, 50, 21
3, death, 3, 2, 0
3, sinki, 0, 0, 0
4, num, 1, 40, 23
4, death, 2, 29, 8
4, sinki, 0, 20, 10
5, num, 1, 39, 23
5, death, 1, 1, 0
5, sinki, 0, 0, 0
6, num, 0, 38, 23
6, death, 0, 3, 0
6, sinki, 0, 0, 0
7, num, 0, 18, 20
7, death, 0, 17, 14
7, sinki, 0, 0, 10
8, num, 0, 18, 19
8, death, 0, 0, 0
8, sinki, 0, 0, 0
9, num, 0, 18, 19
9, death, 0, 1, 0
9, sinki, 0, 0, 0
10, num, 0, 10, 21
10, death, 0, 8, 9
10, sinki, 0, 0, 10
